"Code","Country.x","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7.x","d100","%poburb18","GS_2017","PPP_2018","StringencyIndex","d7.y","Indice","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Country.y","Fecha","Valor"
"FRA","France",0.8911,82.541,15.4858,11.41703591,40510.78081,2,2020-01-30,2020-05-02,80.44,11.3128922879696,41631.0907389044,11.11,2020-01-30,1.480526,2020-01-30,"France","Sin apoyo",122.299437237519,9,"France",2020-05-02,168518
"GAB","Gabon",0.7016,66.187,12.9,8.320069671,15794.07816,1,2020-03-20,2020-06-21,89.37,2.78074592351913,7956.62781558686,62.96,2020-03-20,-0.8122834,2020-03-20,"Gabon","Sin apoyo",8.22476423332169,28,"Gabon",2020-06-21,4428
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-06,2020-05-09,83.4,9.63169410824776,43043.2278164551,11.11,2020-02-06,1.341884,2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4,"United Kingdom",2020-05-09,209589
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-06,2020-05-09,83.4,9.63169410824776,43043.2278164551,11.11,2020-02-06,1.341884,2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4,"United Kingdom",2020-05-09,209589
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-06,2020-05-09,83.4,9.63169410824776,43043.2278164551,11.11,2020-02-06,1.341884,2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4,"United Kingdom",2020-05-09,209589
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-06,2020-05-09,83.4,9.63169410824776,43043.2278164551,11.11,2020-02-06,1.341884,2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4,"United Kingdom",2020-05-09,209589
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-06,2020-05-09,83.4,9.63169410824776,43043.2278164551,11.11,2020-02-06,1.341884,2020-02-06,"United Kingdom","Sin apoyo",274.708981936924,4,"United Kingdom",2020-05-09,209589
"GHA","Ghana",0.5957,63.78,11.51923,7.184,4098.860341,2,2020-03-20,2020-06-21,56.06,3.26237045228481,2202.31216442504,50,2020-03-20,-0.2102704,2020-03-20,"Ghana","Sin apoyo",130.821429199262,12,"Ghana",2020-06-21,14154
"GIN","Guinea",0.4655,61.185,9.00675,2.707392597,2211.002107,2,2020-03-19,2020-06-20,36.14,4.12308685481548,983.309492239346,13.89,2020-03-19,-0.9709232,2020-03-19,"Guinea","Sin apoyo",50.5222122741332,3,"Guinea",2020-06-20,4960
"GMB","Gambia",0.4657,61.735,9.482098751,3.666,1489.572356,2,2020-03-23,2020-06-24,61.27,3.2820712774992,712.512371079256,56.48,2020-03-23,-0.6234712,2020-03-23,"Gambia","Sin apoyo",225.30652173913,NA,"Gambia",2020-06-24,42
"GRC","Greece",0.872,82.072,17.33672,10.53957898,24909.34008,2,2020-03-03,2020-06-04,79.06,8.04139003157616,20324.3050137875,19.44,2020-03-03,0.3382609,2020-03-03,"Greece","Sin apoyo",83.2651823118697,22,"Greece",2020-06-04,2952
"GTM","Guatemala",0.651,74.063,10.62148,6.467886134,7377.915813,2,2020-03-20,2020-06-21,51.05,5.81384375691414,4472.89236269013,83.33,2020-03-20,-0.6820061,2020-03-20,"Guatemala","Sin apoyo",152.547125793206,2,"Guatemala",2020-06-21,13145
"GUY","Guyana",0.6703,69.774,11.47262358,8.46676505,7615.416702,2,2020-03-18,2020-06-19,26.61,4.94550988078117,4979.00218839886,41.67,2020-03-18,-0.2694839,2020-03-18,"Guyana","Sin apoyo",3.95734823469647,11,"Guyana",2020-06-19,183
"HND","Honduras",0.623,75.088,10.20793667,6.5964413,4258.345021,2,2020-03-17,2020-06-18,57.1,7.85842537879944,2505.7767518956,93.52,2020-03-17,-0.6206585,2020-03-17,"Honduras","Sin apoyo",85.6870319063366,6,"Honduras",2020-06-18,10739
"HRV","Croatia",0.8373,78.342,14.96245,11.40518282,23060.96179,2,2020-03-02,2020-06-03,56.95,6.78913369774818,14920.1913831924,13.89,2020-03-02,0.4569183,2020-03-02,"Croatia","Sin apoyo",73.0493745532523,12,"Croatia",2020-06-03,2246
"HTI","Haiti",0.5027,63.66,9.5,5.441686,1664.892927,2,2020-03-26,2020-06-27,55.28,8.03550109267235,868.342024762787,82.41,2020-03-26,-1.909054,2020-03-26,"Haiti","Sin apoyo",403.59854862119,41,"Haiti",2020-06-27,5777
"HUN","Hungary",0.8447,76.701,15.11709,11.88941481,27144.21153,2,2020-03-10,2020-06-11,71.35,6.87998980283737,16150.7727613725,19.44,2020-03-10,0.4873109,2020-03-10,"Hungary","Sin apoyo",107.981486799956,4,"Hungary",2020-06-11,4039
"IDN","Indonesia",0.7069,71.509,12.9155945,7.976152649,11255.78107,2,2020-03-08,2020-06-09,55.33,2.98905447125435,3893.84642475571,37.04,2020-03-08,0.1798754,2020-03-08,"Indonesia","Sin apoyo",147.75219008926,5,"Indonesia",2020-06-09,33076
"IND","India",0.6469,69.416,12.34981,6.452132788,6828.601528,1,2020-02-05,2020-05-08,34.03,3.53495962917805,2005.86300452403,10.19,2020-02-05,0.2830485,2020-02-05,"India","Sin apoyo",454.938072575247,9,"India",2020-05-08,59695
"IRL","Ireland",0.9425,82.103,18.79326,12.52629458,55659.67902,2,2020-03-06,2020-06-07,63.17,7.18438327312469,78621.2279552716,11.11,2020-03-06,1.420338,2020-03-06,"Ireland","Sin apoyo",70.6534475250399,7,"Ireland",2020-06-07,25201
"IRQ","Iraq",0.6888,70.454,11.148673,7.316,15364.95568,2,2020-03-01,2020-06-02,70.47,4.16663028299809,5834.16621076139,52.78,2020-03-01,-1.320548,2020-03-01,"Iraq","Sin apoyo",88.5305700354617,16,"Iraq",2020-06-02,7387
"ISL","Iceland",0.9385,82.855,19.17451,12.53666119,47566.45467,2,2020-03-05,2020-06-06,93.81,8.32629129290581,72968.7042306678,16.67,2020-03-05,1.465655,2020-03-05,"Iceland","Sin apoyo",3.51841396508728,3,"Iceland",2020-06-06,1806
"ISR","Israel",0.9062,82.819,15.99117,12.95921504,33649.6895,2,2020-02-27,2020-05-30,92.42,7.40746408700943,41719.7254417057,19.44,2020-02-27,1.208207,2020-02-27,"Israel","Sin apoyo",410.480591497227,4,"Israel",2020-05-30,17012
"ITA","Italy",0.8826,83.352,16.2469,10.24509,36141.42829,2,2020-02-06,2020-05-09,70.44,8.84025916457176,34520.085162403,19.44,2020-02-06,0.4138835,2020-02-06,"Italy","Sin apoyo",205.418372203713,11,"Italy",2020-05-09,218268
"JAM","Jamaica",0.7257,74.368,13.1407323,9.796912678,7931.516349,2,2020-03-17,2020-06-18,55.67,5.98841682076454,5354.2368587703,59.26,2020-03-17,0.4967112,2020-03-17,"Jamaica","Sin apoyo",270.993074792244,12,"Jamaica",2020-06-18,638
"JOR","Jordan",0.7234,74.405,11.8767423,10.452,8267.805545,2,2020-03-09,2020-06-10,90.98,8.11925083398819,4241.78878213854,11.11,2020-03-09,0.112718,2020-03-09,"Jordan","Sin apoyo",112.14249831043,18,"Jordan",2020-06-10,863
"JPN","Japan",0.9147,84.47,15.23057,12.8,40799.0143,0,2020-01-28,2020-04-30,91.62,10.9359331429005,39159.4235633952,2.78,2020-01-28,1.675817,2020-01-28,"Japan","Sin apoyo",347.073458415624,3,"Japan",2020-04-30,14284
"KAZ","Kazakhstan",0.8172,73.236,15.26522,11.784,22167.69698,2,2020-03-19,2020-06-20,57.43,3.12536172568798,9812.60140498928,80.09,2020-03-19,0.0217204,2020-03-19,"Kazakhstan","Menos del 50% del sueldo",6.76982572137645,5,"Kazakhstan",2020-06-20,17225
"KEN","Kenya",0.5786,66.342,11.06424,6.564,3051.689885,2,2020-03-19,2020-06-20,27.03,4.80254329741001,1707.98680529003,59.26,2020-03-19,-0.4108523,2020-03-19,"Kenya","Sin apoyo",90.2994166637383,40,"Kenya",2020-06-20,4478
"KHM","Cambodia",0.5815,69.57,11.33676945,4.844,3597.396365,0,2020-02-02,2020-05-05,23.39,5.91884180903435,1512.12670972847,0,2020-02-02,-0.568605,2020-02-02,"Cambodia","Sin apoyo",92.0564128710628,0,"Cambodia",2020-05-05,122
"KWT","Kuwait",0.8084,75.398,13.7588,7.275667996,71164.21501,2,2020-03-01,2020-06-02,100,5.2913848310709,33994.3819171507,27.78,2020-03-01,-0.0878059,2020-03-01,"Kuwait","Sin apoyo",232.172390572391,1,"Kuwait",2020-06-02,28649
"LBN","Lebanon",0.7301,78.875,11.28587,8.7,11136.2495,1,2020-02-27,2020-05-30,88.59,8.19554403424263,8024.80327081387,8.33,2020-02-27,-0.6402023,2020-02-27,"Lebanon","Sin apoyo",669.494134897361,10,"Lebanon",2020-05-30,1191
"LBR","Liberia",0.4647,63.73,9.57967,4.668,1040.085099,1,2020-03-22,2020-06-23,51.15,8.15533772110939,677.322178545364,74.07,2020-03-22,-1.340831,2020-03-22,"Liberia","Sin apoyo",50.0309073920266,3,"Liberia",2020-06-23,652
"LBY","Libya",0.7076,72.724,12.789937,7.56,11684.73341,2,2020-03-30,2020-07-01,80.1,NA,7877.12225061884,90.74,2020-03-30,-1.847037,2020-03-30,"Libya","Sin apoyo",3.79563238119054,30,"Libya",2020-07-01,874
"LKA","Sri Lanka",0.7801,76.812,13.96532,11.05175,11610.90818,1,2020-02-02,2020-05-05,18.48,3.81142050027847,4080.56712469552,8.33,2020-02-02,-0.2353793,2020-02-02,"Sri Lanka","Sin apoyo",345.558922022006,4,"Sri Lanka",2020-05-05,771
"LSO","Lesotho",0.518,53.705,10.73776,6.348,3243.839094,2,2020-05-19,2020-08-20,28.15,8.76315832138062,1221.88376312516,62.04,2020-05-19,-0.8609057,2020-05-19,"Lesotho","Sin apoyo",69.437812911726,28,"Lesotho",2020-08-20,996
"LTU","Lithuania",0.8693,75.737,16.49953,12.96103366,29775.26288,2,2020-03-05,2020-06-06,67.68,6.45756423473358,19080.6173717553,11.11,2020-03-05,1.072398,2020-03-05,"Lithuania","Sin apoyo",44.7230757742448,7,"Lithuania",2020-06-06,1705
"LUX","Luxembourg",0.9087,82.102,14.22752,12.19580174,65543.05171,2,2020-03-06,2020-06-07,90.98,5.4810743778944,116654.26106674,11.11,2020-03-06,1.778221,2020-03-06,"Luxembourg","Sin apoyo",250.185185185185,6,"Luxembourg",2020-06-07,4039
"LVA","Latvia",0.8539,75.172,15.98269,12.82536903,26300.76872,1,2020-03-08,2020-06-09,68.14,5.95566183328629,17805.2803143817,8.33,2020-03-08,1.043452,2020-03-08,"Latvia","Sin apoyo",30.9934705693149,9,"Latvia",2020-06-09,1089
"MAR","Morocco",0.6764,76.453,13.0675557,5.514,7479.592067,1,2020-03-08,2020-06-09,62.45,5.24520017206669,3222.20063433213,5.56,2020-03-08,-0.2092959,2020-03-08,"Morocco","Sin apoyo",80.7285189334528,10,"Morocco",2020-06-09,8437
"MDG","Madagascar",0.5207,66.681,10.41317,6.1,1403.915973,2,2020-03-26,2020-06-27,37.19,5.50203807651997,527.501326141803,91.67,2020-03-26,-1.153121,2020-03-26,"Madagascar","Sin apoyo",45.1398556204881,2,"Madagascar",2020-06-27,2005
"MEX","Mexico",0.7674,74.992,14.29736,8.60085,17628.11729,0,2020-03-05,2020-06-06,80.16,5.51654137670994,9673.44367360619,2.78,2020-03-05,-0.153388,2020-03-05,"Mexico","Sin apoyo",64.9146264050001,3,"Mexico",2020-06-06,113619
"MLI","Mali",0.4272,58.893,7.60336,2.352954412,1965.385142,2,2020-03-31,2020-07-02,42.36,3.79398502409458,900.110164506815,72.22,2020-03-31,-1.004638,2020-03-31,"Mali","Sin apoyo",15.635015858186,8,"Mali",2020-07-02,2260
"MNG","Mongolia",0.7347,69.689,14.20655,10.17198276,10783.71204,2,2020-03-16,2020-06-17,68.44,4.00230102241039,4134.98719823511,57.41,2020-03-16,-0.2333477,2020-03-16,"Mongolia","Sin apoyo",2.04060866654651,8,"Mongolia",2020-06-17,201
"MOZ","Mozambique",0.446,60.163,9.74711,3.540898438,1153.697636,2,2020-03-28,2020-06-29,35.99,4.94119822978973,498.957220208652,47.22,2020-03-28,-0.8742813,2020-03-28,"Mozambique","Sin apoyo",37.508535313716,25,"Mozambique",2020-06-29,883
"MRT","Mauritania",0.5271,64.704,8.46557,4.614,3746.083654,2,2020-03-20,2020-06-21,53.67,4.40315157175064,1600.87646860561,57.41,2020-03-20,-0.7266325,2020-03-20,"Mauritania","Sin apoyo",4.27216357815077,10,"Mauritania",2020-06-21,2984
"MUS","Mauritius",0.7964,74.863,14.96984,9.43,22724.23479,0,2020-03-24,2020-06-25,40.79,5.71872070431709,11208.2273695738,71.3,2020-03-24,0.8760849,2020-03-24,"Mauritius","Menos del 50% del sueldo",623.30197044335,7,"Mauritius",2020-06-25,341
"MWI","Malawi",0.4854,63.798,10.95276,4.63,1159.120065,2,2020-04-08,2020-07-10,16.94,9.64823141694069,381.258987601084,56.48,2020-04-08,-0.7286705,2020-04-08,"Malawi","Sin apoyo",192.440761561307,20,"Malawi",2020-07-10,2069
"MYS","Malaysia",0.8042,75.997,13.46876,10.15999793,27226.67561,2,2020-01-31,2020-05-03,76.04,3.85939814150333,11373.2330025676,19.44,2020-01-31,1.075348,2020-01-31,"Malaysia","Sin apoyo",95.9628214883579,3,"Malaysia",2020-05-03,6298
"NAM","Namibia",0.645,63.373,12.63338796,6.94,9682.661774,2,2020-03-20,2020-06-21,50.03,8.55095684528351,5495.42883582824,50,2020-03-20,0.106442,2020-03-20,"Namibia","Sin apoyo",2.97374558175127,34,"Namibia",2020-06-21,55
"NER","Niger",0.3766,62.024,6.47145,2.029048967,912.0418982,2,2020-03-26,2020-06-27,16.43,7.73996263742447,571.526992228733,52.78,2020-03-26,-0.7660425,2020-03-26,"Niger","Sin apoyo",17.7176505881424,0,"Niger",2020-06-27,1062
"NGA","Nigeria",0.5341,54.332,9.746414,6.4619,5085.540258,2,2020-03-05,2020-06-06,50.34,3.75553853809834,2032.72970882575,11.11,2020-03-05,-1.022591,2020-03-05,"Nigeria","Sin apoyo",215.064988965381,17,"Nigeria",2020-06-06,12233
"NIC","Nicaragua",0.6511,74.275,12.20689607,6.796,4789.840116,1,2020-03-25,2020-06-26,58.52,8.64546522498131,2020.54702818624,8.33,2020-03-25,-0.8024699,2020-03-25,"Nicaragua","Sin apoyo",53.7270483629716,6,"Nicaragua",2020-06-26,2170
"NLD","Netherlands",0.9335,82.143,18.04483,12.1900128,50012.5936,0,2020-03-04,2020-06-05,91.49,10.1008348166943,53048.0962104394,0,2020-03-04,1.850466,2020-03-04,"Netherlands","Sin apoyo",511.475927574948,5,"Netherlands",2020-06-05,47358
