Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Tanzania,TZA,Voice and Accountability: Estimate,VA.EST,-0.503791
Thailand,THA,Voice and Accountability: Estimate,VA.EST,-0.8272713
Timor-Leste,TLS,Voice and Accountability: Estimate,VA.EST,0.3827664
Togo,TGO,Voice and Accountability: Estimate,VA.EST,-0.7209277
Tonga,TON,Voice and Accountability: Estimate,VA.EST,0.5559595
Trinidad and Tobago,TTO,Voice and Accountability: Estimate,VA.EST,0.6249191
Tunisia,TUN,Voice and Accountability: Estimate,VA.EST,0.2814057
Turkey,TUR,Voice and Accountability: Estimate,VA.EST,-0.814703
Turkmenistan,TKM,Voice and Accountability: Estimate,VA.EST,-2.131469
Tuvalu,TUV,Voice and Accountability: Estimate,VA.EST,1.122499
Uganda,UGA,Voice and Accountability: Estimate,VA.EST,-0.6238396
Ukraine,UKR,Voice and Accountability: Estimate,VA.EST,0.0552378
United Arab Emirates,ARE,Voice and Accountability: Estimate,VA.EST,-1.122036
United Kingdom,GBR,Voice and Accountability: Estimate,VA.EST,1.263675
United States,USA,Voice and Accountability: Estimate,VA.EST,0.965248
Uruguay,URY,Voice and Accountability: Estimate,VA.EST,1.25694
Uzbekistan,UZB,Voice and Accountability: Estimate,VA.EST,-1.605511
Vanuatu,VUT,Voice and Accountability: Estimate,VA.EST,0.6633606
"Venezuela, RB",VEN,Voice and Accountability: Estimate,VA.EST,-1.409431
Vietnam,VNM,Voice and Accountability: Estimate,VA.EST,-1.380526
Virgin Islands (U.S.),VIR,Voice and Accountability: Estimate,VA.EST,..
West Bank and Gaza,PSE,Voice and Accountability: Estimate,VA.EST,-1.008188
"Yemen, Rep.",YEM,Voice and Accountability: Estimate,VA.EST,-1.766007
Zambia,ZMB,Voice and Accountability: Estimate,VA.EST,-0.2861988
Zimbabwe,ZWE,Voice and Accountability: Estimate,VA.EST,-1.141875
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
