"Code","Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7","d100","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100"
"MDG","Madagascar",0.5207,66.681,10.41317,6.1,1403.915973,2,2020-04-03,2020-06-27,37.19,62.81,5.50203807651997,527.501326141803,91.67,-1.153121,"Sin apoyo",45.1398556204881,2,2005
"MEX","Mexico",0.7674,74.992,14.29736,8.60085,17628.11729,0,2020-03-13,2020-06-06,80.16,19.84,5.51654137670994,9673.44367360619,2.78,-0.153388,"Sin apoyo",64.9146264050001,3,113619
"MLI","Mali",0.4272,58.893,7.60336,2.352954412,1965.385142,2,2020-04-08,2020-07-02,42.36,57.64,3.79398502409458,900.110164506815,72.22,-1.004638,"Menos del 50% del sueldo",15.635015858186,8,2260
"MNG","Mongolia",0.7347,69.689,14.20655,10.17198276,10783.71204,2,2020-03-24,2020-06-17,68.44,31.55,4.00230102241039,4134.98719823511,62.96,-0.2333477,"Sin apoyo",2.04060866654651,8,201
"MOZ","Mozambique",0.446,60.163,9.74711,3.540898438,1153.697636,2,2020-04-05,2020-06-29,35.99,64.01,4.94119822978973,498.957220208652,56.48,-0.8742813,"Sin apoyo",37.508535313716,25,883
"MRT","Mauritania",0.5271,64.704,8.46557,4.614,3746.083654,2,2020-03-28,2020-06-21,53.67,46.33,4.40315157175064,1600.87646860561,66.67,-0.7266325,"Menos del 50% del sueldo",4.27216357815077,10,2984
"MUS","Mauritius",0.7964,74.863,14.96984,9.43,22724.23479,2,2020-04-01,2020-06-25,40.79,59.21,5.71872070431709,11208.2273695738,82.41,0.8760849,"Menos del 50% del sueldo",623.30197044335,7,341
"MWI","Malawi",0.4854,63.798,10.95276,4.63,1159.120065,2,2020-04-16,2020-07-10,16.94,83.06,9.64823141694069,381.258987601084,56.48,-0.7286705,"Sin apoyo",192.440761561307,20,2069
"MYS","Malaysia",0.8042,75.997,13.46876,10.15999793,27226.67561,2,2020-02-08,2020-05-03,76.04,23.96,3.85939814150333,11373.2330025676,19.44,1.075348,"Sin apoyo",95.9628214883579,3,6298
"NAM","Namibia",0.645,63.373,12.63338796,6.94,9682.661774,2,2020-03-28,2020-06-21,50.03,49.97,8.55095684528351,5495.42883582824,66.67,0.106442,"Sin apoyo",2.97374558175127,34,55
"NER","Niger",0.3766,62.024,6.47145,2.029048967,912.0418982,2,2020-04-03,2020-06-27,16.43,83.58,7.73996263742447,571.526992228733,61.11,-0.7660425,"Sin apoyo",17.7176505881424,0,1062
"NGA","Nigeria",0.5341,54.332,9.746414,6.4619,5085.540258,2,2020-03-13,2020-06-06,50.34,49.66,3.75553853809834,2032.72970882575,11.11,-1.022591,"Sin apoyo",215.064988965381,17,12233
"NIC","Nicaragua",0.6511,74.275,12.20689607,6.796,4789.840116,1,2020-04-02,2020-06-26,58.52,41.48,8.64546522498131,2020.54702818624,8.33,-0.8024699,"Sin apoyo",53.7270483629716,6,2170
"NLD","Netherlands",0.9335,82.143,18.04483,12.1900128,50012.5936,2,2020-03-12,2020-06-05,91.49,8.51,10.1008348166943,53048.0962104394,41.67,1.850466,"Sin apoyo",511.475927574948,5,47358
"NOR","Norway",0.9537,82.271,18.06082,12.56681764,68058.61613,2,2020-03-11,2020-06-04,82.25,17.75,10.4463420808315,81734.4655736102,20.37,1.887119,"Sin apoyo",14.5482916341657,4,8504
"NPL","Nepal",0.5795,70.478,12.1952,4.856,2748.200382,2,2020-02-08,2020-05-03,19.74,80.26,5.55329509079456,1038.65164702443,16.67,-0.9023383,"Sin apoyo",195.939107080572,3,75
"NZL","New Zealand",0.9209,82.145,18.8376,12.678166,35107.50023,2,2020-03-13,2020-06-06,86.54,13.46,9.1700553894043,42949.9305849512,19.44,1.670251,"Sin apoyo",18.3851733697923,5,1504
"PAK","Pakistan",0.5604,67.114,8.46498,5.158944258,5190.07941,2,2020-03-10,2020-06-03,36.67,63.33,2.89863366633654,1482.30566684338,28.7,-0.6338443,"Sin apoyo",275.289318700706,6,85264
"PAN","Panama",0.7951,78.329,12.88063,10.17,20454.87351,2,2020-03-24,2020-06-17,67.71,32.29,7.31949135661125,15592.573678922,75.93,-0.019452,"Sin apoyo",56.1860774818402,6,22597
"PER","Peru",0.7591,76.516,13.8474129,9.215395842,12322.65681,2,2020-03-20,2020-06-13,77.91,22.09,4.99515049159527,6941.23584763012,94.44,-0.2454309,"Menos del 50% del sueldo",24.99160625,7,220749
"PHL","Philippines",0.7119,71.095,12.72245333,9.393091398,9539.697881,2,2020-02-13,2020-05-08,46.91,53.09,4.44640778005123,3252.09232412664,25,0.0495094,"Sin apoyo",357.688305329175,6,10463
"POL","Poland",0.8718,78.544,16.4332,12.29398111,27625.79535,2,2020-03-18,2020-06-11,60.06,39.94,6.5419539809227,15460.6442805468,57.41,0.6626508,"Menos del 50% del sueldo",124.023482151605,5,28201
"PRT","Portugal",0.8502,81.857,16.29655,9.190958665,27935.3848,2,2020-03-16,2020-06-09,65.21,34.79,8.96957442164421,23461.5718628115,37.96,1.208909,"Menos del 50% del sueldo",112.2619412173,9,35306
"PRY","Paraguay",0.7243,74.131,12.68985207,8.450439127,11719.95898,1,2020-03-22,2020-06-15,61.59,38.41,6.65456876158714,5805.67561638869,85.19,-0.5172144,"Sin apoyo",17.5083589227284,6,1296
"QAT","Qatar",0.8484,80.1,12.17887,9.66734,110488.7358,1,2020-03-14,2020-06-07,99.14,0.86,2.60742865502834,68793.7844372614,30.56,0.6312364,"Sin apoyo",239.593195521103,9,68790
"ROU","Romania",0.8156,75.924,14.26345,10.97836,23905.77107,2,2020-03-11,2020-06-04,54,46,5.15788830816746,12408.5964891293,44.44,-0.2534418,"Sin apoyo",84.633801286509,5,19907
"RWA","Rwanda",0.536,68.7,11.16659,4.417150539,1958.611877,2,2020-03-28,2020-06-21,17.21,82.79,6.57159835100174,782.618140904879,90.74,0.2068089,"Sin apoyo",498.659870287799,3,728
