Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Tonga,TON,Control of Corruption: Estimate,CC.EST,-0.3456802
Trinidad and Tobago,TTO,Control of Corruption: Estimate,CC.EST,-0.1913557
Tunisia,TUN,Control of Corruption: Estimate,CC.EST,-0.0770505
Turkey,TUR,Control of Corruption: Estimate,CC.EST,-0.2909701
Turkmenistan,TKM,Control of Corruption: Estimate,CC.EST,-1.511905
Tuvalu,TUV,Control of Corruption: Estimate,CC.EST,0.4090785
Uganda,UGA,Control of Corruption: Estimate,CC.EST,-1.165626
Ukraine,UKR,Control of Corruption: Estimate,CC.EST,-0.7095972
United Arab Emirates,ARE,Control of Corruption: Estimate,CC.EST,1.106342
United Kingdom,GBR,Control of Corruption: Estimate,CC.EST,1.774812
United States,USA,Control of Corruption: Estimate,CC.EST,1.215326
Uruguay,URY,Control of Corruption: Estimate,CC.EST,1.246511
Uzbekistan,UZB,Control of Corruption: Estimate,CC.EST,-1.053791
Vanuatu,VUT,Control of Corruption: Estimate,CC.EST,-0.258875
"Venezuela, RB",VEN,Control of Corruption: Estimate,CC.EST,-1.50984
Vietnam,VNM,Control of Corruption: Estimate,CC.EST,-0.5138411
Virgin Islands (U.S.),VIR,Control of Corruption: Estimate,CC.EST,0.6249012
West Bank and Gaza,PSE,Control of Corruption: Estimate,CC.EST,-0.2595741
"Yemen, Rep.",YEM,Control of Corruption: Estimate,CC.EST,-1.681461
Zambia,ZMB,Control of Corruption: Estimate,CC.EST,-0.6403451
Zimbabwe,ZWE,Control of Corruption: Estimate,CC.EST,-1.238796
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 09/28/2020,,,,
